"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 14:55:43 GMT 2023","Mon Oct 23 14:55:49 GMT 2023","6487","chromium","","Authentication page","","","Login with wrong password",""
"passed","Mon Oct 23 14:55:43 GMT 2023","Mon Oct 23 14:55:50 GMT 2023","6533","chromium","","Authentication page","","","Login with wrong username",""
"passed","Mon Oct 23 14:55:42 GMT 2023","Mon Oct 23 14:55:49 GMT 2023","7112","firefox","","","","","has title",""
"passed","Mon Oct 23 14:56:19 GMT 2023","Mon Oct 23 14:56:26 GMT 2023","7297","firefox","","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Oct 23 14:55:28 GMT 2023","Mon Oct 23 14:55:39 GMT 2023","11387","firefox","","Authentication page","","","Login with wrong username",""
"passed","Mon Oct 23 14:55:49 GMT 2023","Mon Oct 23 14:55:51 GMT 2023","1762","chromium","","Create and book room API test","","","Create and book room",""
"passed","Mon Oct 23 14:55:39 GMT 2023","Mon Oct 23 14:55:45 GMT 2023","6337","firefox","","Create room test","","","Create room",""
"passed","Mon Oct 23 14:55:49 GMT 2023","Mon Oct 23 14:55:54 GMT 2023","5668","firefox","","","","","get started link",""
"passed","Mon Oct 23 14:55:49 GMT 2023","Mon Oct 23 14:55:53 GMT 2023","3827","chromium","","Create room test","","","Create room",""
"passed","Mon Oct 23 14:55:27 GMT 2023","Mon Oct 23 14:55:38 GMT 2023","10541","firefox","","Authentication page","","","Login with wrong password",""
"passed","Mon Oct 23 14:55:44 GMT 2023","Mon Oct 23 14:56:01 GMT 2023","16208","firefox","","Edit room test","","","Edit room",""
"passed","Mon Oct 23 14:55:28 GMT 2023","Mon Oct 23 14:55:36 GMT 2023","8409","chromium","","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Mon Oct 23 14:55:27 GMT 2023","Mon Oct 23 14:55:30 GMT 2023","2854","chromium","","","","","get started link",""
"passed","Mon Oct 23 14:55:25 GMT 2023","Mon Oct 23 14:55:27 GMT 2023","2550","chromium","","","","","has title",""
"passed","Mon Oct 23 14:55:44 GMT 2023","Mon Oct 23 14:55:49 GMT 2023","5068","firefox","","Authentication page","","","Successfull login",""
"passed","Mon Oct 23 14:55:38 GMT 2023","Mon Oct 23 14:55:40 GMT 2023","1951","firefox","","Create and book room API test","","","Create and book room",""
"passed","Mon Oct 23 14:55:43 GMT 2023","Mon Oct 23 14:55:49 GMT 2023","6198","chromium","","Authentication page","","","Successfull login",""
"passed","Mon Oct 23 14:55:28 GMT 2023","Mon Oct 23 14:55:37 GMT 2023","8728","chromium","","Edit room test","","","Edit room",""
