"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 13:01:10 GMT 2023","Fri Nov 03 13:01:19 GMT 2023","8843","chromium","","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Fri Nov 03 13:01:08 GMT 2023","Fri Nov 03 13:01:10 GMT 2023","2612","chromium","","","","","has title",""
"passed","Fri Nov 03 13:01:13 GMT 2023","Fri Nov 03 13:01:19 GMT 2023","5958","firefox","","Authentication page","","","Successfull login",""
"passed","Fri Nov 03 13:01:10 GMT 2023","Fri Nov 03 13:01:14 GMT 2023","3299","chromium","","","","","get started link",""
"passed","Fri Nov 03 13:01:08 GMT 2023","Fri Nov 03 13:01:10 GMT 2023","2698","chromium","","Authentication page","","","Login with wrong username",""
"passed","Fri Nov 03 13:01:07 GMT 2023","Fri Nov 03 13:01:12 GMT 2023","5010","chromium","","Authentication page","","","Login with wrong password",""
"passed","Fri Nov 03 13:01:21 GMT 2023","Fri Nov 03 13:01:35 GMT 2023","14027","firefox","","Create (API) and edit (UI) room test","","","Create and edit room",""
"passed","Fri Nov 03 13:01:08 GMT 2023","Fri Nov 03 13:01:12 GMT 2023","4522","chromium","","Authentication page","","","Successfull login",""
"passed","Fri Nov 03 13:01:10 GMT 2023","Fri Nov 03 13:01:18 GMT 2023","8205","chromium","","Edit room test","","","Edit room",""
"passed","Fri Nov 03 13:01:19 GMT 2023","Fri Nov 03 13:01:22 GMT 2023","3409","firefox","","Create room test","","","Create room",""
"passed","Fri Nov 03 13:01:13 GMT 2023","Fri Nov 03 13:01:19 GMT 2023","5951","firefox","","Authentication page","","","Login with wrong username",""
"passed","Fri Nov 03 13:01:18 GMT 2023","Fri Nov 03 13:01:20 GMT 2023","1568","firefox","","Create and book room API test","","","Create and book room",""
"passed","Fri Nov 03 13:01:21 GMT 2023","Fri Nov 03 13:01:37 GMT 2023","15829","firefox","","Edit room test","","","Edit room",""
"passed","Fri Nov 03 13:01:13 GMT 2023","Fri Nov 03 13:01:18 GMT 2023","5515","firefox","","Authentication page","","","Login with wrong password",""
"passed","Fri Nov 03 13:01:25 GMT 2023","Fri Nov 03 13:01:30 GMT 2023","4590","firefox","","","","","get started link",""
"passed","Fri Nov 03 13:01:10 GMT 2023","Fri Nov 03 13:01:12 GMT 2023","1732","chromium","","Create and book room API test","","","Create and book room",""
"passed","Fri Nov 03 13:01:12 GMT 2023","Fri Nov 03 13:01:15 GMT 2023","3229","chromium","","Create room test","","","Create room",""
"passed","Fri Nov 03 13:01:19 GMT 2023","Fri Nov 03 13:01:25 GMT 2023","6260","firefox","","","","","has title",""
